Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1558299600.0 134.902 NA 36 349 0 NA NA 105 656 0 NA NA 287 6963 651 NA NA 232 3151 711 NA
1558299600.0 134.903 NA 41 348 0 NA NA 110 608 0 NA NA 268 7422 624 NA NA 248 3738 728 NA
1558299600.0 134.904 NA 41 354 0 NA NA 108 706 0 NA NA 277 7520 652 NA NA 281 3328 696 NA
1558299600.0 134.905 NA 39 358 0 NA NA 104 687 0 NA NA 276 6250 645 NA NA 221 3156 701 NA
1558299600.0 134.906 NA 42 353 0 NA NA 107 704 0 NA NA 312 6900 671 NA NA 271 3172 708 NA
1558299600.0 134.907 NA 98 366 0 NA NA 227 748 0 NA NA 993 6279 733 NA NA 671 3097 838 NA
1558299600.0 134.908 NA 96 363 0 NA NA 231 711 0 NA NA 954 6286 715 NA NA 987 3080 980 NA
1558299600.0 134.909 NA 39 340 0 NA NA 107 654 0 NA NA 330 8926 887 NA NA 527 5947 941 NA
1558299600.0 134.91 NA 47 345 0 NA NA 107 684 0 NA NA 292 5675 652 NA NA 227 2870 682 NA
1558299600.0 134.911 NA 33 341 0 NA NA 102 700 0 NA NA 279 5473 676 NA NA 461 2834 795 NA
1558299600.0 134.912 NA 30 321 0 NA NA 96 663 0 NA NA 263 4405 680 NA NA 378 2658 1082 NA
1558299600.0 134.99601 NA 35 345 0 NA NA 107 688 0 NA NA 288 8060 690 NA NA 339 3621 954 NA
1558299600.0 134.99602 NA 35 332 0 NA NA 109 688 0 NA NA 276 5166 680 NA NA 366 3058 930 NA
1558299600.0 134.99603 NA 36 342 0 NA NA 112 645 0 NA NA 315 6791 687 NA NA 378 3328 850 NA
1558299600.0 134.99901 NA 48 341 0 NA NA 104 694 0 NA NA 262 5684 665 NA NA 202 2947 710 NA
1558299600.0 1340.0 NA 182 349 0 NA NA 603 679 0 NA NA 521 1873 604 NA NA 468 2017 748 NA
1558299600.0 1341.0 NA 156 382 0 NA NA 607 674 0 NA NA 641 3081 610 NA NA 409 2668 732 NA
1558299600.0 1344.0 NA 154 364 0 NA NA 562 693 0 NA NA 718 2281 601 NA NA 460 2030 635 NA
1558299600.0 1345.0 NA 150 366 0 NA NA 608 687 0 NA NA 585 2545 590 NA NA 388 2348 631 NA
1558299600.0 1348.0 NA 153 362 0 NA NA 562 678 0 NA NA 666 1908 738 NA NA 487 1837 796 NA
1558299600.0 1349.0 NA 152 357 0 NA NA 608 680 0 NA NA 612 2000 631 NA NA 417 1879 678 NA
1558299600.0 135.13 338 0 NA NA NA 802 0 NA NA NA 1463 322 NA NA NA 1340 415 NA NA NA
1558299600.0 135.8 143 NA NA NA NA 267 NA NA NA NA 498 NA NA NA NA 1212 NA NA NA NA
1558299600.0 135.9 330 0 128 NA NA 853 0 212 NA NA 1233 261 600 NA NA 2404 853 1281 NA NA
1558299600.0 1350.0 NA 187 347 0 NA NA 604 675 0 NA NA 524 1944 614 NA NA 445 2186 861 NA
1558299600.0 1351.0 NA 196 349 0 NA NA 560 692 0 NA NA 514 1886 613 NA NA 406 1933 783 NA
1558299600.0 1352.0 NA 186 343 0 NA NA 605 662 0 NA NA 542 1981 612 NA NA 641 2048 844 NA
1558299600.0 1353.0 NA 170 353 0 NA NA 515 679 0 NA NA 539 2039 628 NA NA 907 2055 847 NA
1558299600.0 1354.0 NA 150 369 0 NA NA 606 682 0 NA NA 577 2172 603 NA NA 398 2009 685 NA
1558299600.0 1355.0 NA 156 372 0 NA NA 607 653 0 NA NA 694 2123 614 NA NA 449 1895 740 NA
