Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4
1558342800.0 136.801 NA 0 NA NA NA 0 NA NA NA 0 NA NA NA 0 NA NA
1558342800.0 136.802 NA 0 NA NA NA 0 NA NA NA 0 NA NA NA 0 NA NA
1558342800.0 136.803 NA 0 NA NA NA 0 NA NA NA 0 NA NA NA 0 NA NA
1558342800.0 136.805 NA 0 NA NA NA 0 NA NA NA 0 NA NA NA 0 NA NA
1558342800.0 136.808 NA 0 NA NA NA 0 NA NA NA 0 NA NA NA 0 NA NA
1558342800.0 136.809 NA 56 NA NA NA 135 NA NA NA 981 NA NA NA 5340 NA NA
1558342800.0 136.812 NA 0 NA NA NA 0 NA NA NA 0 NA NA NA 0 NA NA
1558342800.0 136.813 NA 0 NA NA NA 0 NA NA NA 0 NA NA NA 0 NA NA
1558342800.0 136.814 NA 0 NA NA NA 0 NA NA NA 0 NA NA NA 0 NA NA
1558342800.0 136.815 NA 54 NA NA NA 134 NA NA NA 981 NA NA NA 4387 NA NA
1558342800.0 136.818 NA 57 NA NA NA 135 NA NA NA 965 NA NA NA 5321 NA NA
1558342800.0 136.821 NA 0 NA NA NA 0 NA NA NA 0 NA NA NA 0 NA NA
1558342800.0 136.823 NA 73 NA NA NA 151 NA NA NA 1142 NA NA NA 5278 NA NA
1558342800.0 136.824 NA 57 NA NA NA 134 NA NA NA 919 NA NA NA 5267 NA NA
1558342800.0 136.825 NA 0 NA NA NA 0 NA NA NA 0 NA NA NA 0 NA NA
1558342800.0 136.827 NA 55 NA NA NA 134 NA NA NA 979 NA NA NA 4405 NA NA
1558342800.0 136.828 NA 0 NA NA NA 0 NA NA NA 0 NA NA NA 0 NA NA
1558342800.0 136.829 NA 0 NA NA NA 0 NA NA NA 0 NA NA NA 0 NA NA
1558342800.0 136.83 NA 0 NA NA NA 0 NA NA NA 0 NA NA NA 0 NA NA
1558342800.0 136.831 NA 0 NA NA NA 0 NA NA NA 0 NA NA NA 0 NA NA
1558342800.0 136.8311 NA 159 0 NA NA 242 0 NA NA 2590 194 NA NA 2729 228 NA
1558342800.0 136.832 NA 0 NA NA NA 0 NA NA NA 0 NA NA NA 0 NA NA
1558342800.0 136.833 NA 0 NA NA NA 0 NA NA NA 0 NA NA NA 0 NA NA
1558342800.0 136.834 NA 0 NA NA NA 0 NA NA NA 0 NA NA NA 0 NA NA
1558342800.0 136.835 NA 0 NA NA NA 0 NA NA NA 0 NA NA NA 0 NA NA
1558342800.0 136.836 NA 0 NA NA NA 0 NA NA NA 0 NA NA NA 0 NA NA
1558342800.0 136.838 NA 0 NA NA NA 0 NA NA NA 0 NA NA NA 0 NA NA
1558342800.0 136.839 NA 53 NA NA NA 132 NA NA NA 838 NA NA NA 3083 NA NA
1558342800.0 136.841 NA 0 NA NA NA 0 NA NA NA 0 NA NA NA 0 NA NA
1558342800.0 136.842 NA 0 NA NA NA 0 NA NA NA 0 NA NA NA 0 NA NA
1558342800.0 136.843 NA 0 NA NA NA 0 NA NA NA 0 NA NA NA 0 NA NA
1558342800.0 136.844 NA 0 NA NA NA 0 NA NA NA 0 NA NA NA 0 NA NA
1558342800.0 136.845 NA 55 NA NA NA 133 NA NA NA 947 NA NA NA 4726 NA NA
1558342800.0 136.847 NA 0 NA NA NA 0 NA NA NA 0 NA NA NA 0 NA NA
1558342800.0 136.848 NA 56 NA NA NA 134 NA NA NA 929 NA NA NA 5248 NA NA
1558342800.0 136.8501 NA 0 NA NA NA 0 NA NA NA 0 NA NA NA 0 NA NA
1558342800.0 136.852 NA 0 NA NA NA 0 NA NA NA 0 NA NA NA 0 NA NA
1558342800.0 136.856 NA 0 NA NA NA 0 NA NA NA 0 NA NA NA 0 NA NA
1558342800.0 136.858 NA 0 NA NA NA 0 NA NA NA 0 NA NA NA 0 NA NA
1558342800.0 136.861 NA 0 NA NA NA 0 NA NA NA 0 NA NA NA 0 NA NA
1558342800.0 136.8642 NA 0 NA NA NA 0 NA NA NA 0 NA NA NA 0 NA NA
