Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobTime1 TotalJobTime2 TotalJobTime3
1557867600.0 29434.0 85 291 NA 155 429 NA 6413 2831 NA 2552 1747 NA
1557867600.0 4.17 NA 34 NA NA 89 NA NA 293 NA NA 241 NA
1557867600.0 4.29 NA 35 NA NA 92 NA NA 368 NA NA 266 NA
1557867600.0 4.63 NA 34 NA NA 91 NA NA 376 NA NA 407 NA
1557867600.0 4.65 NA 36 NA NA 94 NA NA 336 NA NA 319 NA
1557867600.0 4.67 NA 61 NA NA 118 NA NA 360 NA NA 371 NA
1557867600.0 4.68 NA 49 NA NA 111 NA NA 307 NA NA 317 NA
1557867600.0 4.71 NA 34 NA NA 91 NA NA 320 NA NA 335 NA
1557867600.0 4.75 NA 38 NA NA 95 NA NA 305 NA NA 302 NA
1557867600.0 4.76 NA 64 NA NA 124 NA NA 382 NA NA 369 NA
1557867600.0 4.77 NA 65 NA NA 122 NA NA 373 NA NA 346 NA
1557867600.0 4.78 NA 55 NA NA 118 NA NA 315 NA NA 360 NA
1557867600.0 500200.0 NA 226 NA NA 612 NA NA 7833 NA NA 2744 NA
1557867600.0 500202.0 NA 227 NA NA 613 NA NA 8000 NA NA 3000 NA
1557867600.0 500203.0 NA 226 NA NA 569 NA NA 7975 NA NA 2955 NA
1557867600.0 500204.0 NA 228 NA NA 613 NA NA 7748 NA NA 2784 NA
1557867600.0 500205.0 NA 226 NA NA 615 NA NA 7741 NA NA 2841 NA
1557867600.0 500206.0 NA 226 NA NA 615 NA NA 7637 NA NA 2819 NA
1557867600.0 500207.0 NA 219 NA NA 615 NA NA 7113 NA NA 2692 NA
1557867600.0 50200.0 NA 249 NA NA 614 NA NA 1840 NA NA 1160 NA
1557867600.0 50202.0 NA 242 NA NA 569 NA NA 1703 NA NA 915 NA
1557867600.0 50203.0 NA 243 NA NA 570 NA NA 1787 NA NA 1018 NA
1557867600.0 50204.0 NA 236 NA NA 613 NA NA 1791 NA NA 1125 NA
1557867600.0 50205.0 NA 250 NA NA 525 NA NA 1802 NA NA 921 NA
1557867600.0 50206.0 NA 238 NA NA 615 NA NA 1783 NA NA 1041 NA
1557867600.0 50207.0 NA 243 NA NA 615 NA NA 1759 NA NA 944 NA
1557867600.0 50208.0 NA 255 NA NA 525 NA NA 1768 NA NA 1001 NA
